,ROI_label,First Order::Mean,First Order::Unbiased Variance,First Order::Biased Variance,First Order::Skewness,First Order::Kurtosis,First Order::Median,First Order::Minimum,First Order::Maximum,First Order::Range,First Order::Mean Absolute Deviation,First Order::Robust Mean Absolute Deviation,First Order::Median Absolute Deviation,First Order::Coefficient Of Variation,First Order::Quantile Coefficient Of Dispersion,First Order::Energy,First Order::Root Mean Square,First Order::Robust Mean,First Order::Uniformity,First Order::Entropy,First Order::Excess Kurtosis,First Order::Covered Image Intensity Range,First Order::Sum,First Order::Mode,First Order::Mode Probability,First Order::Unbiased Standard deviation,First Order::Biased Standard deviation,First Order::Number Of Voxels,First Order::05th Percentile,First Order::10th Percentile,First Order::15th Percentile,First Order::20th Percentile,First Order::25th Percentile,First Order::30th Percentile,First Order::35th Percentile,First Order::40th Percentile,First Order::45th Percentile,First Order::50th Percentile,First Order::55th Percentile,First Order::60th Percentile,First Order::65th Percentile,First Order::70th Percentile,First Order::75th Percentile,First Order::80th Percentile,First Order::85th Percentile,First Order::90th Percentile,First Order::95th Percentile,First Order::Interquartile Range,First Order::Image Dimension,First Order::Voxel Space,First Order::Voxel Volume,First Order Numeric::Mean,First Order Numeric::Variance,First Order Numeric::Skewness,First Order Numeric::Excess kurtosis,First Order Numeric::Median,First Order Numeric::Minimum,First Order Numeric::05th Percentile,First Order Numeric::10th Percentile,First Order Numeric::15th Percentile,First Order Numeric::20th Percentile,First Order Numeric::25th Percentile,First Order Numeric::30th Percentile,First Order Numeric::35th Percentile,First Order Numeric::40th Percentile,First Order Numeric::45th Percentile,First Order Numeric::50th Percentile,First Order Numeric::55th Percentile,First Order Numeric::60th Percentile,First Order Numeric::65th Percentile,First Order Numeric::70th Percentile,First Order Numeric::75th Percentile,First Order Numeric::80th Percentile,First Order Numeric::85th Percentile,First Order Numeric::90th Percentile,First Order Numeric::95th Percentile,First Order Numeric::Maximum,First Order Numeric::Interquantile range,First Order Numeric::Range,First Order Numeric::Mean absolute deviation,First Order Numeric::Robust mean absolute deviation,First Order Numeric::Median absolute deviation,First Order Numeric::Coefficient of variation,First Order Numeric::Quantile coefficient of dispersion,First Order Numeric::Energy,First Order Numeric::Root mean square,First Order Numeric::Standard Deviation,First Order Numeric::Kurtosis,First Order Numeric::Robust mean,First Order Numeric::Robust variance,First Order Numeric::Covered image intensity range,First Order Numeric::Mode index,First Order Numeric::Mode value,First Order Numeric::Mode probability,First Order Numeric::Entropy,First Order Numeric::Uniformtiy,First Order Numeric::Number of voxels,First Order Numeric::Sum of voxels,First Order Numeric::Voxel space,First Order Numeric::Voxel volume,First Order Numeric::Image Dimension,First Order Histogram::Mean Value,First Order Histogram::Variance Value,First Order Histogram::Skewness Value,First Order Histogram::Excess Kurtosis Value,First Order Histogram::Median Value,First Order Histogram::Minimum Value,First Order Histogram::Percentile 10 Value,First Order Histogram::Percentile 90 Value,First Order Histogram::Maximum Value,First Order Histogram::Mode Value,First Order Histogram::Interquantile Range Value,First Order Histogram::Range Value,First Order Histogram::Mean Absolute Deviation Value,First Order Histogram::Robust Mean Absolute Deviation Value,First Order Histogram::Median Absolute Deviation Value,First Order Histogram::Coefficient of Variation Value,First Order Histogram::Quantile coefficient of Dispersion Value,First Order Histogram::Entropy Value,First Order Histogram::Uniformity Value,First Order Histogram::Robust Mean Value,First Order Histogram::Mean Index,First Order Histogram::Variance Index,First Order Histogram::Skewness Index,First Order Histogram::Excess Kurtosis Index,First Order Histogram::Median Index,First Order Histogram::Minimum Index,First Order Histogram::Percentile 10 Index,First Order Histogram::Percentile 90 Index,First Order Histogram::Maximum Index,First Order Histogram::Mode Index,First Order Histogram::Interquantile Range Index,First Order Histogram::Range Index,First Order Histogram::Mean Absolute Deviation Index,First Order Histogram::Robust Mean Absolute Deviation Index,First Order Histogram::Median Absolute Deviation Index,First Order Histogram::Coefficient of Variation Index,First Order Histogram::Quantile coefficient of Dispersion Index,First Order Histogram::Entropy Index,First Order Histogram::Uniformity Index,First Order Histogram::Maximum Gradient,First Order Histogram::Maximum Gradient Index,First Order Histogram::Minimum Gradient,First Order Histogram::Minimum Gradient Index,First Order Histogram::Robust Mean Index,First Order Histogram::Number of Bins,First Order Histogram::Bin Size
0,1,34307.15,123451514.86,122857748.42,0.09,2.27,36383.97,10926.0,58033.0,47107.0,9013.12,6639.93,8993.06,0.32,0.23,303987609393.69,36042.92,34114.66,0.01,6.91,-0.73,0.81,8027872.0,33436.98,5.0,11110.87,11084.12,234.0,15947.74,19827.94,21467.68,23334.1,26409.55,28812.48,30217.96,31351.42,32660.56,33459.65,34736.68,36376.41,38146.5,40328.4,42277.95,44371.06,47809.22,50280.15,53759.87,15868.4,3.0,1.0,1.0,34307.15,122923944.29,0.1,-0.73,33436.98,10926.0,15868.4,19835.5,21422.34,23235.87,26296.2,28563.12,30149.96,31283.41,32643.56,33436.98,34683.79,36383.97,38197.5,40237.72,42277.95,44318.17,47265.16,50212.15,53612.52,58033.0,15981.74,47107.0,9015.86,6508.83,8994.11,0.32,0.23,304177574110.0,36054.18,11087.11,2.27,34196.19,62950308.25,0.81,147.0,33436.98,0.02,-6.91,0.01,234.0,8027872.0,1.0,1.0,3.0,34296.28,122857630.33,0.1,-0.73,33436.98,10926.0,19827.94,50280.15,58033.0,33436.98,15868.4,47107.0,9012.75,6639.93,8993.06,0.32,0.23,6.91,0.01,34114.66,151.79,2390.74,0.1,-0.73,148.0,49.0,88.0,222.0,256.0,148.0,70.0,207.0,39.76,29.29,39.67,0.32,0.23,6.91,0.01,1.5,87.0,-2.0,149.0,149.99,256.0,226.69
0,2,39277.2,73250377.59,72216841.63,-0.05,2.05,42695.86,21208.0,53976.0,32768.0,7257.01,5690.09,7257.01,0.22,0.17,119451552047.02,40177.23,39346.96,0.02,5.79,-0.95,0.61,2906513.0,43750.08,3.0,8558.64,8498.05,74.0,25659.68,28548.24,29328.37,30741.02,32364.52,34198.86,34978.98,35590.43,37804.28,39216.94,41894.65,42738.03,43549.78,43841.44,45436.83,47903.7,49316.35,51994.07,52637.14,13072.31,3.0,1.0,1.0,39277.2,72260507.62,-0.05,-0.95,39111.52,21208.0,24879.56,28253.06,29307.28,30572.34,32259.09,34156.69,34789.22,35527.17,37741.03,39111.52,41325.38,42695.86,43539.23,43750.08,45225.98,47018.16,49126.59,51445.88,52605.52,53976.0,12966.89,32768.0,7257.99,5565.92,7257.99,0.22,0.17,119506977823.0,40186.55,8500.62,2.05,39136.56,40847462.48,0.61,207.0,43750.08,0.04,-5.79,0.02,74.0,2906513.0,1.0,1.0,3.0,39268.22,72216761.01,-0.05,-0.95,39322.36,21208.0,28548.24,51994.07,53976.0,43750.08,13072.31,32768.0,7257.01,5690.09,7257.01,0.22,0.17,5.79,0.02,39346.96,186.74,1624.49,-0.05,-0.95,187.0,101.0,136.0,247.0,256.0,208.0,62.0,155.0,34.42,26.99,34.42,0.22,0.17,5.79,0.02,1.5,207.0,-1.5,209.0,186.12,256.0,210.84
0,3,27587.47,60971393.32,60366196.98,0.01,1.93,30014.65,12648.0,40980.0,28332.0,6681.54,5410.38,6674.32,0.28,0.22,69802599907.25,28656.71,27444.25,0.02,5.58,-1.07,0.69,2344935.0,22651.05,4.0,7808.42,7769.57,85.0,15727.68,16768.18,18689.12,20169.84,21310.4,22591.03,23651.54,24491.95,26032.71,26973.16,28714.01,30254.77,31735.49,32575.9,33596.4,35297.23,37818.46,38658.87,39919.48,12286.0,3.0,1.0,1.0,27587.47,60254082.81,0.01,-1.06,26733.05,12648.0,15527.58,16728.16,18168.87,20089.8,21130.31,22410.94,23131.29,24411.91,26012.7,26733.05,28573.95,30014.65,31455.35,32575.9,33536.37,35297.23,37218.16,38498.79,39859.45,40980.0,12406.05,28332.0,6666.62,5299.71,6663.98,0.28,0.23,69812422383.0,28658.73,7762.35,1.94,27286.75,37551067.49,0.69,141.0,22651.05,0.05,-5.58,0.02,85.0,2344935.0,1.0,1.0,3.0,27583.34,60366179.95,0.01,-1.07,26973.16,12648.0,16768.18,38658.87,40980.0,22651.05,12286.0,28332.0,6681.49,5410.38,6674.32,0.28,0.22,5.58,0.02,27444.25,172.81,2355.75,0.01,-1.07,169.0,80.0,105.0,242.0,256.0,142.0,76.0,176.0,41.74,33.8,41.69,0.28,0.22,5.58,0.02,2.0,141.0,-2.0,143.0,170.94,256.0,160.08
0,4,23718.35,28594638.49,26840191.3,-0.74,2.97,24726.8,11217.0,30360.0,19143.0,4077.51,3550.4,4067.07,0.22,0.14,10017315127.5,24274.55,24497.02,0.08,3.73,-0.03,0.63,403212.0,23540.86,2.0,5347.4,5180.75,17.0,11248.62,15381.61,18684.45,19615.41,21376.52,22188.89,22289.7,23220.66,23520.11,23570.51,24709.01,25995.75,26570.93,26671.73,28388.38,28438.78,29583.21,30259.2,30309.6,7011.86,3.0,1.0,1.0,23718.35,26912600.93,-0.73,-0.04,23540.86,11217.0,5633.2,13282.5,17018.2,19152.89,20516.72,21821.25,21821.25,22710.7,23362.97,23540.86,24133.83,25379.06,26327.81,26327.81,27513.75,28403.2,28996.17,29944.92,30300.7,30360.0,6997.03,19143.0,4087.67,3113.86,4077.23,0.22,0.15,10021038742.0,24279.06,5187.74,2.96,23662.5,15211697.54,1.0,198.0,23540.86,0.12,-3.73,0.08,17.0,403212.0,1.0,1.0,3.0,23715.26,26840181.74,-0.73,-0.03,23540.86,11217.0,15381.61,30259.2,30360.0,23540.86,7011.86,19143.0,4077.33,3550.4,4067.07,0.22,0.14,3.73,0.08,24497.02,200.47,1908.37,-0.73,-0.03,199.0,95.0,130.0,256.0,256.0,199.0,59.0,161.0,34.38,29.94,34.29,0.22,0.14,3.73,0.08,2.0,256.0,-1.0,200.0,206.06,256.0,118.59
0,5,28060.37,91585191.94,91152777.89,0.16,1.96,30271.64,10305.0,48893.0,38588.0,8164.39,6557.47,8161.41,0.34,0.3,213350192403.91,29630.8,27703.38,0.02,6.22,-1.04,0.79,6818670.0,14801.59,7.0,9570.02,9547.4,243.0,14444.44,15405.11,17210.43,18245.75,19612.11,21451.17,22653.12,24408.3,26060.35,27903.39,29187.78,30596.32,31861.62,34096.18,36586.19,37716.37,39560.84,41170.71,44280.63,16974.08,3.0,1.0,1.0,28060.37,91208298.15,0.16,-1.04,27693.3,10305.0,14419.62,15374.56,16997.96,18239.38,19576.3,21486.18,22632.11,24351.01,26069.9,27693.3,29125.71,30462.63,31799.55,34091.41,36574.26,37720.19,39439.08,41157.97,43831.81,48893.0,16997.96,38588.0,8176.77,6308.61,8171.15,0.34,0.3,213498022084.0,29641.06,9550.3,1.96,27822.7,53442186.02,0.79,77.0,14801.59,0.03,-6.22,0.02,243.0,6818670.0,1.0,1.0,3.0,28050.52,91152680.85,0.16,-1.03,27979.78,10305.0,15405.11,41170.71,48893.0,14801.59,16974.08,38588.0,8164.03,6557.47,8161.41,0.34,0.3,6.22,0.02,27703.38,147.37,2498.94,0.16,-1.03,147.0,54.0,81.0,216.0,256.0,78.0,89.0,202.0,42.75,34.33,42.73,0.34,0.3,6.22,0.02,3.0,100.0,-3.5,79.0,144.55,256.0,190.99
0,6,33593.57,147613322.0,147207275.73,0.19,2.48,36181.44,8756.0,65459.0,56703.0,9863.33,7098.29,9858.68,0.36,0.25,617480688843.56,35718.15,33329.87,0.01,7.21,-0.52,0.87,16259286.0,34391.54,11.0,12149.62,12132.9,484.0,13833.33,17694.39,19514.96,22798.14,25160.8,26909.79,28344.26,30152.05,31440.78,33240.9,34785.32,36176.33,37976.45,39837.94,42190.37,44500.19,46383.84,50321.61,54873.05,17029.57,3.0,1.0,1.0,33593.57,147308335.8,0.19,-0.52,33113.05,8756.0,13679.91,17643.25,19560.99,22757.23,25186.37,26976.27,28254.76,30044.66,31323.15,33113.05,34775.09,36181.44,37971.33,39633.38,42062.52,44491.66,46281.56,50244.9,54847.48,65459.0,16876.15,56703.0,9868.99,7102.67,9864.13,0.36,0.25,617504633760.0,35718.85,12137.06,2.48,33330.93,71666755.89,0.87,134.0,34391.54,0.02,-7.21,0.01,484.0,16259286.0,1.0,1.0,3.0,33594.33,147207275.14,0.19,-0.52,33368.75,8756.0,17694.39,50321.61,65459.0,34391.54,17029.57,56703.0,9863.34,7098.29,9858.68,0.36,0.25,7.21,0.01,33329.87,131.88,2251.49,0.19,-0.52,131.0,35.0,70.0,197.0,256.0,135.0,67.0,221.0,38.57,27.76,38.56,0.36,0.25,7.21,0.01,5.5,134.0,-3.0,136.0,129.85,256.0,255.7
0,7,32760.65,80453306.15,80184386.85,-0.43,2.48,36258.73,8248.0,50039.0,41791.0,7364.74,5440.46,7310.27,0.27,0.19,407132119758.52,33960.99,33332.91,0.01,6.48,-0.52,0.84,11564510.0,34890.47,10.0,8969.58,8954.57,353.0,15809.85,19956.96,22225.75,23948.35,27023.01,28777.31,30044.9,31333.01,32637.74,33986.45,35191.0,36278.28,37507.75,38391.25,39395.94,40800.03,42222.04,43496.51,45807.19,12372.92,3.0,1.0,1.0,32760.65,80225393.11,-0.43,-0.52,33913.15,8248.0,15734.92,19839.68,22185.26,23944.44,27071.88,28635.6,30003.85,31372.11,32544.9,33913.15,35085.94,36258.73,37431.52,38408.84,39386.17,40754.42,42220.41,43490.93,45738.77,50039.0,12314.29,41791.0,7368.68,5342.41,7317.5,0.27,0.19,407180446316.0,33963.0,8956.86,2.48,33078.18,39855361.98,0.84,178.0,34890.47,0.03,-6.48,0.01,353.0,11564510.0,1.0,1.0,3.0,32759.19,80184384.71,-0.43,-0.52,33913.15,8248.0,19956.96,43496.51,50039.0,34890.47,12372.92,41791.0,7364.89,5440.46,7310.27,0.27,0.19,6.48,0.01,33332.91,168.1,2098.71,-0.43,-0.52,174.0,43.0,103.0,223.0,256.0,179.0,63.0,213.0,37.68,27.83,37.4,0.27,0.18,6.48,0.01,4.0,194.0,-5.0,198.0,170.03,256.0,195.46
0,8,37516.65,86281426.72,86089070.91,-0.29,2.09,40880.13,15799.0,55815.0,40016.0,7858.13,6096.44,7814.37,0.25,0.2,724636047658.68,38653.52,37986.82,0.01,7.03,-0.91,0.72,18195574.0,40880.13,10.0,9288.78,9278.42,485.0,21502.95,24255.54,26457.62,28416.23,29960.59,31536.1,33739.73,35974.51,37206.37,38754.36,39892.19,40989.14,42560.75,43987.02,45390.57,46657.85,47911.51,49083.41,50484.23,15429.98,3.0,1.0,1.0,37516.65,86103526.87,-0.3,-0.9,38699.85,15799.0,21475.69,24092.02,26490.32,28452.57,29978.76,31504.95,33576.21,35865.5,37173.66,38699.85,39789.99,40880.13,42624.35,43932.51,45349.69,46548.84,47857.0,49056.15,50473.33,55815.0,15370.93,40016.0,7858.85,6050.17,7815.56,0.25,0.2,724397144942.0,38647.15,9279.2,2.1,37867.06,49950079.3,0.72,187.0,40880.13,0.02,-7.03,0.01,485.0,18195574.0,1.0,1.0,3.0,37523.4,86089025.24,-0.3,-0.91,38699.85,15799.0,24255.54,49083.41,55815.0,40880.13,15429.98,40016.0,7857.54,6096.44,7814.37,0.25,0.2,7.03,0.01,37986.82,172.6,1811.03,-0.3,-0.91,178.0,73.0,112.0,226.0,256.0,188.0,71.0,183.0,36.04,27.96,35.84,0.25,0.2,7.03,0.01,4.0,168.0,-3.5,189.0,173.73,256.0,218.03
0,9,17633.67,23702264.27,23116501.45,-0.07,2.06,19617.97,8163.0,25689.0,17526.0,4095.61,3251.43,4081.53,0.27,0.21,15369063316.45,18278.68,17724.56,0.03,5.26,-0.94,0.68,811149.0,12292.59,2.0,4868.5,4807.96,46.0,9262.09,10596.71,12337.74,13858.01,14199.19,14731.04,15463.57,15995.42,16441.96,17259.8,18193.03,19597.9,19758.45,21183.39,21599.83,22156.76,23792.43,24324.27,25257.51,7400.64,3.0,1.0,1.0,17633.67,23186997.65,-0.07,-0.93,16808.23,8163.0,9031.29,10335.81,12292.59,13496.76,14048.67,14500.24,15303.02,15804.76,16406.84,16808.23,18162.93,19066.05,19668.14,21073.01,21424.22,21875.79,23481.35,24183.79,25187.26,25689.0,7375.55,17526.0,4100.31,3147.38,4085.59,0.27,0.21,15370138853.0,18279.32,4815.29,2.07,17541.68,13153237.73,0.68,122.0,12292.59,0.04,-5.26,0.03,46.0,811149.0,1.0,1.0,3.0,17635.01,23116499.67,-0.07,-0.94,17309.97,8163.0,10596.71,24324.27,25689.0,12292.59,7400.64,17526.0,4095.66,3251.43,4081.53,0.27,0.21,5.26,0.03,17724.56,176.24,2295.66,-0.07,-0.94,173.0,82.0,106.0,243.0,256.0,123.0,74.0,174.0,40.81,32.4,40.67,0.27,0.21,5.26,0.03,1.0,122.0,-1.0,124.0,176.13,256.0,100.35
0,10,31151.97,80036312.02,79793421.98,0.16,2.24,33539.64,13584.0,53165.0,39581.0,7476.74,5701.2,7475.51,0.29,0.21,267924200992.45,32414.24,30933.61,0.02,6.23,-0.76,0.74,7943752.0,25232.61,8.0,8946.3,8932.72,255.0,17713.01,19261.93,20861.03,22775.11,24324.03,25167.71,26459.19,27620.88,29688.98,31073.49,32527.22,33643.48,34615.1,36239.42,37446.54,39458.4,41794.75,43144.64,46363.62,13122.51,3.0,1.0,1.0,31151.97,79722444.13,0.16,-0.75,31047.53,13584.0,17756.28,19210.01,20871.42,22740.5,24194.23,25232.61,26478.66,27517.04,29593.8,31047.53,32501.26,33539.64,34578.02,36239.42,37485.48,38939.21,41742.83,43092.72,46207.86,53165.0,13291.25,39581.0,7473.12,5634.01,7473.48,0.29,0.22,267792736342.0,32406.29,8928.74,2.25,31039.99,43187929.16,0.74,121.0,25232.61,0.03,-6.23,0.02,255.0,7943752.0,1.0,1.0,3.0,31159.1,79793371.06,0.16,-0.76,31047.53,13584.0,19261.93,43144.64,53165.0,25232.61,13122.51,39581.0,7476.83,5701.2,7475.51,0.29,0.21,6.23,0.02,30933.61,150.54,1850.1,0.16,-0.76,150.0,66.0,93.0,208.0,256.0,122.0,63.0,190.0,36.0,27.45,36.0,0.29,0.21,6.23,0.02,3.0,115.0,-4.0,123.0,148.45,256.0,207.68
0,11,30870.26,49861485.08,49341557.31,-0.11,2.39,33134.03,15799.0,45239.0,29440.0,5821.38,4275.73,5804.14,0.23,0.17,103199800606.23,31653.43,31004.94,0.02,5.65,-0.61,0.65,3179637.0,27832.59,5.0,7061.27,7024.35,103.0,17697.99,21435.51,23941.92,24846.11,26109.62,27077.13,27746.0,28292.05,29895.73,31344.8,32100.25,33073.95,33808.49,34830.5,36513.7,37260.32,38974.46,40061.26,42031.63,10404.09,3.0,1.0,1.0,30870.26,49377392.99,-0.11,-0.61,31366.88,15799.0,17494.77,21205.78,23944.86,24563.36,25888.72,26860.66,27655.87,28097.66,29776.45,31366.88,31897.03,33045.68,33487.46,34724.47,36491.62,37198.47,38788.91,39849.2,41704.7,45239.0,10602.89,29440.0,5828.37,4233.62,5809.48,0.23,0.17,103242099165.0,31659.92,7026.9,2.39,30903.48,23909861.03,0.65,157.0,27832.59,0.05,-5.65,0.02,103.0,3179637.0,1.0,1.0,3.0,30864.19,49341520.45,-0.11,-0.61,31366.88,15799.0,21435.51,40061.26,45239.0,27832.59,10404.09,29440.0,5821.68,4275.73,5804.14,0.23,0.17,5.65,0.02,31004.94,175.16,1580.03,-0.11,-0.61,178.0,90.0,122.0,227.0,256.0,158.0,59.0,166.0,32.94,24.2,32.84,0.23,0.17,5.65,0.02,2.5,187.0,-2.5,159.0,174.95,256.0,176.71
